"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
48330-00001,춘추근린공원,근린공원,,경상남도 양산시 교동 산55-1,35.35038532,129.0235715,434351,"체력단련시설,게이트볼장",,"화장실,음수대,원두막",충혼탑,"조경시설,산책로",1976-12-18,경상남도 양산시,055-392-3182,2021-05-21
48330-00002,신북안 어린이공원,어린이공원,,경상남도 양산시 북부동 486-2,35.34578884,129.0382881,699.6,,어린이놀이터,파고라,,"조경시설,산책로",1979-08-02,경상남도 양산시,055-392-3184,2021-05-21
48330-00003,산막 어린이공원,어린이공원,,경상남도 양산시 산막동 309-1,35.37079794,129.0501856,1501.5,,,파고라,,"조경시설,산책로",1986-01-28,경상남도 양산시,055-392-3184,2021-05-21
48330-00004,유산근린공원,근린공원,,경상남도 양산시 유산동 산50-1,35.36060245,129.0336036,51561,체력단련시설,,,,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3182,2021-05-21
48330-00005,가촌신기 어린이공원,어린이공원,,경상남도 양산시 물금읍 가촌리 527,35.32007189,128.9933958,1500.3,,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00006,곡리 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 864-6,35.31713155,129.0312458,1503.1,족구장,어린이놀이터,육각정자,,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00007,옹기골 어린이공원,어린이공원,,경상남도 양산시 남부동 461-1,35.33905652,129.0371348,1519.4,체력단련시설,어린이놀이터,"전통정자,원두막",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00008,옥곡 어린이공원,어린이공원,,경상남도 양산시 남부동 470-1,35.33600773,129.0363368,1635.4,체력단련시설,어린이놀이터,"화장실,원두막",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00009,서일동 어린이공원,어린이공원,,경상남도 양산시 중부동 604-1,35.34047714,129.0354479,1238,체력단련시설,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00010,땅바우 어린이공원,어린이공원,,경상남도 양산시 하북면 지산리 5-2,35.49404179,129.082583,1500,체력단련시설,,,,"조경시설,산책로",1988-01-19,경상남도 양산시,055-392-3184,2021-05-21
48330-00011,새터 어린이공원,어린이공원,,경상남도 양산시 물금읍 가촌리 554-5,35.32040837,128.9919372,2559.5,체력단련시설,어린이놀이터,"화장실,원두막",,"조경시설,산책로",1988-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00012,꿈샘 어린이공원,어린이공원,,경상남도 양산시 상북면 석계리 237-12,35.41600201,129.0593611,1548.6,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1989-10-17,경상남도 양산시,055-392-3184,2021-05-21
48330-00013,여울 어린이공원,어린이공원,,경상남도 양산시 상북면 석계리 245-4,35.41330769,129.0572228,1590.4,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1989-10-17,경상남도 양산시,055-392-3184,2021-05-21
48330-00014,빛솔 어린이공원,어린이공원,,경상남도 양산시 신기동 118,35.3553885,129.0476643,1992.2,,어린이놀이터,원두막,,"조경시설,산책로",1989-11-30,경상남도 양산시,055-392-3184,2021-05-21
48330-00015,빛길 어린이공원,어린이공원,,경상남도 양산시 신기동 133,35.35404476,129.0477459,2107.1,체력단련시설,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1989-11-30,경상남도 양산시,055-392-3184,2021-05-21
48330-00016,해강 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 774-5,35.315332,129.030871,1503.5,체력단련시설,어린이놀이터,"화장실,자전거보관대,파고라",,"조경시설,산책로",1990-01-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00017,북정 근린공원,근린공원,,경상남도 양산시 북정동 435,35.36305073,129.049667,11019.6,"체력단련시설,인조잔디구장",,화장실,이원수선생 노래비,"조경시설,산책로,야외무대",1990-11-24,경상남도 양산시,055-392-3182,2021-05-21
48330-00018,못안 어린이공원,어린이공원,,경상남도 양산시 북정동 406,35.36467508,129.0484116,1681.5,체력단련시설,어린이놀이터,"화장실,파고라",고분상징 조형물,"조경시설,광장,산책로",1990-11-24,경상남도 양산시,055-392-3184,2021-05-21
48330-00019,삼성 어린이공원,어린이공원,,경상남도 양산시 북정동 532-1,35.36138318,129.0486331,1954,"체력단련시설,배구장",어린이놀이터,"원두막,파고라",,"조경시설,산책로",1990-11-24,경상남도 양산시,055-392-3184,2021-05-21
48330-00020,중각단 어린이공원,어린이공원,경상남도 양산시 북정3길 9(북정동),경상남도 양산시 북정동 552-8,35.35954976,129.0480152,2038.2,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1990-11-24,경상남도 양산시,055-392-3184,2021-05-21
48330-00021,가촌 어린이공원,어린이공원,,경상남도 양산시 물금읍 가촌리 708-7,35.32333128,128.9938317,1501.7,체력단련시설,어린이놀이터,파고라,,"조경시설,산책로",1991-10-21,경상남도 양산시,055-392-3184,2021-05-21
48330-00022,서북안 어린이공원,어린이공원,,경상남도 양산시 북부동 697-1,35.34914014,129.0384961,3040.3,체력단련시설,,원두막,,"조경시설,산책로",1991-12-20,경상남도 양산시,055-392-3184,2021-05-21
48330-00023,서중동 어린이공원,어린이공원,,경상남도 양산시 신기동 508-2,35.35514886,129.0399374,4156.8,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1991-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00024,중동 어린이공원,어린이공원,,경상남도 양산시 신기동 508-7,35.35275642,129.0393346,1500,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1991-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00025,한마음 어린이공원,어린이공원,,경상남도 양산시 신기동 511-2,35.35155167,129.0400233,1749.1,체력단련시설,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1991-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00026,동부 어린이공원,어린이공원,,경상남도 양산시 하북면 순지리 826-1,35.49350351,129.0883068,1799.8,체력단련시설,,"간이화장실,원두막",,"조경시설,산책로",1993-08-10,경상남도 양산시,055-392-3184,2021-05-21
48330-00027,북부 어린이공원,어린이공원,경상남도 양산시 하북면 신평7길 17,경상남도 양산시 하북면 순지리 818-1,35.49411763,129.085174,1799.9,체력단련시설,어린이놀이터,"화장실,음수대",,"조경시설,산책로",1993-08-10,경상남도 양산시,055-392-3184,2021-05-21
48330-00028,한신 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 517,35.31306417,129.031502,2272.9,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1994-04-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00029,은행나무어린이공원(석산어린이공원),어린이공원,,경상남도 양산시 동면 금산리 576-1,35.30914642,129.029011,2160.1,체력단련시설,어린이놀이터,화장실,,"조경시설,산책로",1994-04-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00030,금산날뜰 어린이공원,어린이공원,,경상남도 양산시 동면 금산리 585-1,35.30699132,129.028049,2188.7,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1994-04-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00031,메타 어린이공원,어린이공원,,경상남도 양산시 북정동 899-1,35.35862822,129.0409724,2054,,,파고라,,"조경시설,산책로",1994-04-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00032,마로니에 어린이공원,어린이공원,,경상남도 양산시 북정동 912-1,35.35612991,129.0411493,2010.7,,,"원두막,파고라,음수대,간이화장실",,"조경시설,산책로",1994-04-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00033,신기당산 어린이공원,어린이공원,,경상남도 양산시 북정동 907-5,35.35594526,129.0437436,2040.5,,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1994-04-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00034,교동 어린이공원,어린이공원,경상남도 양산시 교동1길 33-99(교동),경상남도 양산시 교동 603,35.34805558,129.0204955,1745,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1994-04-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00035,대석 어린이공원,어린이공원,,경상남도 양산시 상북면 대석리 808-3,35.39166544,129.0531753,1500,체력단련시설,어린이놀이터,전통정자,,"조경시설,산책로",1994-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00036,삽량 근린공원,근린공원,,경상남도 양산시 남부동 601-2,35.33204481,129.0307095,10973.7,체력단련시설,,"화장실,자전거보관대,전통정자",,"조경시설,광장",1995-08-31,경상남도 양산시,055-392-3182,2021-05-21
48330-00037,양주 근린공원,근린공원,,경상남도 양산시 중부동 401-1,35.34308273,129.0332701,16257.3,체력단련시설,어린이놀이터,"화장실,자전거보관대,원두막","기념탑,교통체험시설","조경시설,광장,야외무대",1995-08-31,경상남도 양산시,055-392-3182,2021-05-21
48330-00038,남부 어린이공원,어린이공원,,경상남도 양산시 남부동 608-2,35.33149787,129.0261378,3697.2,"체력단련시설,농구대",어린이놀이터,"자전거보관대,파고라",,"조경시설,산책로",1995-08-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00039,황산 어린이공원,어린이공원,,경상남도 양산시 중부동 697-2,35.33642507,129.0328662,4994.5,"체력단련시설,족구장",어린이놀이터,"원두막,파고라,자전거보관대",,"조경시설,산책로",1995-08-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00040,중앙 어린이공원,어린이공원,경상남도 양산시 양주3길 1(중부동),경상남도 양산시 중부동 666-2,35.34010321,129.031747,4081.1,체력단련시설,어린이놀이터,"원두막,파고라,자전거보관대",,"조경시설,산책로,경로당",1995-08-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00041,느티나무 어린이공원,어린이공원,,경상남도 양산시 북정동 895-3,35.35794828,129.042471,3245.9,"체력단련시설,족구장",,"원두막,파고라",,"조경시설,산책로",1995-10-26,경상남도 양산시,055-392-3184,2021-05-21
48330-00042,범어 근린공원,근린공원,,경상남도 양산시 물금읍 범어리 556,35.3294919,128.9998687,12202,"체력단련시설,게이트볼장",어린이놀이터,"화장실,음수대,원두막",,"조경시설,광장,",1996-08-20,경상남도 양산시,055-392-3182,2021-05-21
48330-00043,오봉산 어린이공원,어린이공원,경상남도 양산시 물금읍 오봉로 179,경상남도 양산시 물금읍 범어리 502-2,35.33466543,129.0074979,1700.3,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1996-08-20,경상남도 양산시,055-392-3184,2021-05-21
48330-00044,주산지 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 506-6,35.33524484,129.0028656,1723.1,"체력단련시설,농구대",어린이놀이터,원두막,,"조경시설,산책로",1996-08-20,경상남도 양산시,055-392-3184,2021-05-21
48330-00045,범어 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 672-3,35.33249752,129.0015557,1880.3,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1996-08-20,경상남도 양산시,055-392-3184,2021-05-21
48330-00046,신동중 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 532-1,35.33180155,128.9985223,1645.9,,어린이놀이터,원두막,,"조경시설,산책로",1996-08-20,경상남도 양산시,055-392-3184,2021-05-21
48330-00047,서남 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 630-6,35.32851778,128.9977669,1999.1,,어린이놀이터,파고라,,"조경시설,산책로",1996-08-20,경상남도 양산시,055-392-3184,2021-05-21
48330-00048,금산 근린공원,근린공원,,경상남도 양산시 동면 금산리 1460-2,35.30899413,129.0257212,24664.2,"체력단련시설,X게임장",,"화장실,자전거보관대",,"조경시설,터널분수,계류",1996-12-31,경상남도 양산시,055-392-3182,2021-05-21
48330-00049,석산 근린공원(2호 근린공원),근린공원,,경상남도 양산시 동면 석산리 1448-7,35.32065609,129.0259347,11977.8,체력단련시설,어린이놀이터,"화장실,자전거보관대,전통정자","전통담장,돌담,화계","조경시설,분수대",1996-12-31,경상남도 양산시,055-392-3182,2021-05-21
48330-00050,새싹 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 2676-10,35.33272174,129.0135699,3464.7,,어린이놀이터,파고라,,"조경시설,산책로,낙수분수",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00051,범어 황산 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 2679-1,35.33053244,129.0102208,3738.3,"체력단련시설,농구대",어린이놀이터,파고라,,"조경시설,산책로",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00052,성산 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 2712-10,35.32979969,129.0169761,3395.7,X게임장,,파고라,,"조경시설,산책로",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00053,금산 어린이공원,어린이공원,,경상남도 양산시 동면 금산리 1417-2,35.31245328,129.0227848,4252.2,농구대,어린이놀이터,"자전거보관대,파고라",,"조경시설,산책로",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00054,금산들 어린이공원,어린이공원,,경상남도 양산시 동면 금산리 1431,35.31214132,129.0266187,4379.6,체력단련시설,어린이놀이터,파고라,돌담,"조경시설,산책로",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00055,석산들 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 1450-3,35.31849628,129.0233999,4552.2,"체력단련시설,농구대",어린이놀이터,"자전거보관대,파고라",,"조경시설,산책로",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00056,석금산 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 1448-4,35.31807935,129.0279146,4720.1,"체력단련시설,농구대",어린이놀이터,"자전거보관대,파고라",,"조경시설,산책로",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00057,석산강변 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 1447-2,35.32343711,129.0243091,4848.5,"체력단련시설,농구대",어린이놀이터,파고라,"돌담,화계","조경시설,산책로",1996-12-31,경상남도 양산시,055-392-3184,2021-05-21
48330-00058,음악분수 공원,근린공원,경상남도 양산시 물금읍 메기로 399,경상남도 양산시 물금읍 범어리 2714-2,35.32762717,129.0180707,22632.2,,어린이놀이터,"화장실,전통정자",,"조경시설,광장,분수대",1997-01-08,경상남도 양산시,055-392-3182,2021-05-21
48330-00059,북정9근린공원,근린공원,,경상남도 양산시 북정동 산48-2,35.35628742,129.0541565,578580,체력단련시설,,원두막,,"조경시설,산책로",1999-10-16,경상남도 양산시,055-392-3182,2021-05-21
48330-00060,어곡 근로자 근린공원,근린공원,,경상남도 양산시 어곡동 865-8,35.37925316,129.0217904,10000.2,체력단련시설,어린이놀이터,원두막,환경조형물,"조경시설,산책로",2000-08-24,경상남도 양산시,055-392-3182,2021-05-21
48330-00061,어곡산업단지 근린공원,근린공원,,경상남도 양산시 어곡동 859,35.38085864,129.0163296,39657.1,"체력단련시설,운동장,풋살장",,"화장실,음수대",,"조경시설,산책로",2000-08-24,경상남도 양산시,055-392-3182,2021-05-21
48330-00062,신기11어린이공원,어린이공원,,경상남도 양산시 신기동 648-5,35.3528516,129.0366513,2177.1,,어린이놀이터,사각정자,,"조경시설,산책로",2001-03-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00063,신기12어린이공원,어린이공원,,경상남도 양산시 신기동 645-1,35.35577184,129.0377229,1868,,어린이놀이터,"사각정자,음수전",,"조경시설,산책로",2001-03-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00064,잎새어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 2787-6,35.33933695,129.0168867,1531,,어린이놀이터,"파고라, 의자",,"조경시설,산책로",2002-11-14,경상남도 양산시,055-392-3184,2021-05-21
48330-00065,어실어린이공원,어린이공원,,경상남도 양산시 어곡동 1073-1,35.38518762,129.0171105,1500,체력단련시설,어린이놀이터,파고라,,"조경시설,광장,산책로",2003-06-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00066,남양산 어린이공원,어린이공원,,경상남도 양산시 물금읍 범어리 2722-4,35.32448521,129.0165465,1593.1,,어린이놀이터,파고라,돌담,"조경시설,산책로",2003-12-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00067,물금남부공원,근린공원,,경상남도 양산시 물금읍 물금리 897-11,35.3041015,128.9909572,101446.3,"체력단련시설,풋살장",,화장실,,"조경시설,생태습지",2004-08-12,경상남도 양산시,055-392-3182,2021-05-21
48330-00068,신기공원,근린공원,,경상남도 양산시 물금읍 가촌리 1272-13,35.31432934,128.9956789,13134.2,체력단련시설,어린이놀이터,,,조경시설,2004-08-12,경상남도 양산시,055-392-3182,2021-05-21
48330-00069,10호 근린공원(10-A),근린공원,,경상남도 양산시 물금읍 증산리 35-5,35.30778173,129.0102234,43212,"체력단련시설,배드민턴장,농구장,풋살장",,"파고라,음수대",,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3182,2021-05-21
48330-00070,메기들공원(14호 근린공원),근린공원,,경상남도 양산시 물금읍 가촌리 1212-7,35.3124576,129.0072575,10259,체력단련시설,,파고라,,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3182,2021-05-21
48330-00071,야리공원,어린이공원,,경상남도 양산시 물금읍 범어리 2779-5,35.31629249,129.0089327,2048.6,체력단련시설,어린이놀이터,파고라,,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00072,통새미공원,어린이공원,,경상남도 양산시 물금읍 가촌리 1248-2,35.32041323,128.9968203,3967.7,체력단련시설,어린이놀이터,파고라,,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00073,새실공원,어린이공원,,경상남도 양산시 물금읍 가촌리 1277-6,35.31253776,128.998692,7768,체력단련시설,어린이놀이터,파고라,,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00074,물금동부공원,어린이공원,,경상남도 양산시 물금읍 물금리 890-12,35.30990741,128.9908301,5990.2,체력단련시설,어린이놀이터,"자전거보관대,파고라",,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00075,물금중부공원,어린이공원,,경상남도 양산시 물금읍 물금리 883-1,35.30716813,128.9896201,5657.2,"체력단련시설, 배드민턴장",어린이놀이터,파고라,,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00076,디자인공원(7호근린),근린공원,,경상남도 양산시 물금읍 범어리 1312-1,35.33404808,129.0209013,182506,체력단련시설,물놀이장,"화장실,주차장",야외무대,"조경시설,야외무대,산책로",2004-08-12,경상남도 양산시,055-392-3182,2021-05-21
48330-00077,8호 근린공원(8-A),근린공원,,경상남도 양산시 물금읍 증산리 1819,35.31132558,129.0122000934,23732,,,"화장실,주차장",,"조경시설, 산책로",2004-08-12,경상남도 양산시,055-392-3182,2021-05-21
48330-00078,구두공원,근린공원,,경상남도 양산시 물금읍 가촌리 1321,35.30941038,129.0019084,80898,체력단련시설,어린이놀이시설,"화장실,주차장,정자",,"조경시설, 산책로",2004-08-12,경상남도 양산시,055-392-3182,2021-05-21
48330-00079,오래뜰어린이공원,어린이공원,,경상남도 양산시 물금읍 증산리 1747-2,35.30799357,129.0064433,1723,,어린이놀이터,"파고라, 의자",,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00080,새솔어린이공원,어린이공원,,경상남도 양산시 물금읍 증산리 1758-2,35.30608084,129.0044953,4639,,어린이놀이터,"파고라, 의자",,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00081,다솜어린이공원,어린이공원,,경상남도 양산시 물금읍 증산리 1817,35.30713334,129.0079941,3012,,어린이놀이터,"파고라, 의자",,"조경시설,산책로",2004-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00082,목련어린이공원,어린이공원,,경상남도 양산시 동면 금산리 850,35.30065951,129.0264185,2600,농구대,어린이놀이터,파고라,,"조경시설,산책로",2004-10-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00083,어린이공원(355),어린이공원,,경상남도 양산시 하북면 용연리 597,35.44591268,129.0822787,3128.8,,,"파고라, 의자",,"조경시설,산책로",2005-03-10,경상남도 양산시,055-392-3184,2021-05-21
48330-00084,동 새들천 공원(5-A 근린공원),근린공원,,경상남도 양산시 물금읍 범어리 2765,35.33678168,129.0163377,45741.5,"체력단련시설,게이트볼장",어린이놀이터,화장실,충혼탑,조경시설,2006-12-28,경상남도 양산시,055-392-3182,2021-05-21
48330-00085,워터파크(5-B 근린공원),근린공원,경상남도 양산시 물금읍 신주2길 25,경상남도 양산시 물금읍 범어리 2764,35.33717429,129.0210836,70445.1,체력단련시설,,"화장실,주차장,전통정자",,"조경시설,바닥분수대,야외무대",2006-12-28,경상남도 양산시,055-392-3182,2021-05-21
48330-00086,중 새들천 공원(5-C 근린공원),근린공원,,경상남도 양산시 물금읍 범어리 2766,35.33403563,129.0116724,14290.2,,,,,조경시설,2006-12-28,경상남도 양산시,055-392-3182,2021-05-21
48330-00087,서 새들천 공원(5-D 근린공원),근린공원,,경상남도 양산시 물금읍 범어리 2767,35.33138469,129.0085485,14172.3,,,,,조경시설,2006-12-28,경상남도 양산시,055-392-3182,2021-05-21
48330-00088,10호 근린공원(10-B),근린공원,,경상남도 양산시 물금읍 증산리 50-6,35.30596739,129.009453,5876,,,주차장,,"조경시설,도로,광장",2006-12-28,경상남도 양산시,055-392-3182,2021-05-21
48330-00089,8호 근린공원(8-B),근린공원,,경상남도 양산시 물금읍 범어리 2803,35.31823686,129.0146206,14430,,,,,"조경시설, 산책로",2006-12-28,경상남도 양산시,055-392-3182,2021-05-21
48330-00090,8호 근린공원(8-C),근린공원,,경상남도 양산시 물금읍 증산리 1833,35.31333572,129.012195,22949,,,,,"조경시설, 산책로",2006-12-28,경상남도 양산시,055-392-3182,2021-05-21
48330-00091,가람뜰어린이공원,어린이공원,,경상남도 양산시 물금읍 증산리 1808-1,35.30414633,129.0084078,1500,,어린이놀이터,"파고라, 의자",,"조경시설,산책로",2006-12-28,경상남도 양산시,055-392-3184,2021-05-21
48330-00092,산막근린공원,근린공원,경상남도 양산시 산막공단북9길 60-42(산막동),경상남도 양산시 산막동 564-3,35.37413963,129.0648547,46928.6,체력단련시설,,전통정자,,"조경시설,산책로",2008-09-11,경상남도 양산시,055-392-3182,2021-05-21
48330-00093,범실근린공원,근린공원,,경상남도 양산시 호계동 1118,35.36648875,129.0677252,16293.2,체력단련시설,,,전통담장,"조경시설,전망대",2008-09-11,경상남도 양산시,055-392-3182,2021-05-21
48330-00094,소공원<50>,소공원,,경상남도 양산시 상북면 대석리 1341-5,35.39035786,129.0594214,552,체력단련시설,,파고라,,"조경시설,산책로",2008-09-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00095,서부마을 소공원,소공원,,경상남도 양산시 물금읍 물금리 774-51,35.30919506,128.9820354,1710,체력단련시설,,파고라,,"조경시설,산책로",2009-11-19,경상남도 양산시,055-392-3184,2021-05-21
48330-00096,어곡주민공원,소공원,,경상남도 양산시 어곡동 414,35.3775096,129.0265007,3344,,,화장실,야외무대,"조경시설,산책로",2011-08-04,경상남도 양산시,055-392-3184,2021-05-21
48330-00097,10호 근린공원(10-C),근린공원,,경상남도 양산시 물금읍 증산리 1831,35.30528545,129.0101593,285.7,,,,,"조경시설,산책로",2015-12-10,경상남도 양산시,055-392-3182,2021-05-21
48330-00098,초산어린이공원,어린이공원,,경상남도 양산시 하북면 초산리 313-8,35.484447,129.088539,1500,체력단련시설,어린이놀이터,"원두막, 의자",,"조경시설,산책로",1988-01-19,경상남도 양산시,055-392-3184,2021-05-21
48330-00099,대바웃골,소공원,,경상남도 양산시 상북면 석계리 산7,35.411359,129.071906,1650,체력단련시설,,파고라,,"조경시설,산책로",2015-01-29,경상남도 양산시,055-392-3184,2021-05-21
48330-00100,팥밭골,소공원,,경상남도 양산시 상북면 석계리 산7-1,35.411359,129.071906,2250,,,,,"조경시설,산책로",2015-01-29,경상남도 양산시,055-392-3184,2021-05-21
48330-00101,봉수대근린공원,근린공원,,경상남도 양산시 상북면 석계리 337-1,35.413667,129.070548,11160,"체력단련시설, 다목적구장",,"화장실,파고라",,"조경시설,산책로",2015-01-29,경상남도 양산시,055-392-3182,2021-05-21
